Date,LMCADS03,DXY,COMXCOPR,SPX,BCOM,MXWD,CL1,XAU,XAG,LMCADY RETURN,True Values,LMCADY,Predictions,PREDICTED PRICE,ACTUAL FUTURE PRICE,ERROR,ERROR%,xpc_chg,act_chg
2/26/2021,9077,90.88,69556,3811.15,85.2778,657.15,61.5,1734.04,26.6677,-0.034097573,-0.025045001,9139.25,-0.031201063,8858.498336,8932.75,74.2517,0.008312296,-280.75,-206.50
3/1/2021,9044,91.04,69358,3901.82,84.7821,670.52,60.64,1725.04,26.571,-0.005513434,-0.007731428,9089,-0.012575556,8975.416457,8913.2,62.2165,0.00698026,-113.58,-175.80
3/2/2021,9170.5,90.79,70130,3870.29,85.2537,667.11,59.75,1738.36,26.7633,0.014337261,-0.047275626,9220.25,-0.008037574,9146.438588,9019,127.4386,0.014130013,-73.81,-201.25
3/3/2021,9101.5,90.95,70019,3819.72,84.8705,662.8,61.28,1711.23,26.0955,-0.010028152,-0.028051162,9128.25,-0.020859098,8939.815062,8794.5,145.3151,0.016523402,-188.43,-333.75
3/4/2021,8907.5,91.63,70045,3768.47,84.7819,653.36,63.83,1697.52,25.3548,-0.021649702,0.015137706,8932.75,-0.002450916,8910.883389,8875.75,35.1334,0.003958357,-21.87,-57.00
3/5/2021,8895.5,91.98,69856,3841.94,85.8592,657.49,66.09,1700.64,25.2463,-0.002190974,0.021125631,8913.2,0.010842804,9010.369926,9069,58.6301,0.006464889,97.17,155.80
3/8/2021,8998.5,92.31,69707,3821.35,85.3688,654.18,65.05,1683.54,25.1275,0.011800139,0.015976582,9019,0.018335624,9185.894373,9103.5,82.3944,0.009050846,166.89,84.50
3/9/2021,8779.5,91.96,69663,3875.44,85.4207,662.99,64.01,1716.1,25.936,-0.025206937,0.019145807,8794.5,0.039646596,9150.176073,9164.25,14.0739,0.001535742,355.68,369.75
3/10/2021,8861.5,91.82,69552,3898.81,85.3416,666.28,64.44,1726.71,26.2127,0.009196313,0.021732112,8875.75,0.007628817,8943.72041,8964.5,20.7796,0.002317987,67.97,88.75
3/11/2021,9057.5,91.42,69508,3939.34,86.2749,674.86,66.02,1722.6,26.1219,0.021539166,-0.000165412,9069,0.01022094,9162.169031,9070.75,91.4190,0.010078442,93.17,1.75
3/12/2021,9085,91.68,69660,3943.34,85.9584,674.47,65.61,1727.11,25.9187,0.00379695,-0.003411095,9103.5,-0.01325356,8983.642242,9067.5,83.8578,0.009248167,-119.86,-36.00
3/15/2021,9144.5,91.83,69660,3968.94,85.9626,676.99,65.39,1731.67,26.2422,0.00665109,-0.00525151,9164.25,-0.003842098,9129.10761,9072.5,56.6076,0.006239472,-35.14,-91.75
3/16/2021,8960.5,91.87,70149,3962.71,85.9592,677.96,64.8,1731.4,25.9354,-0.022037712,0.001616184,8964.5,0.011526043,9068.422972,9116.25,47.8270,0.005246349,103.92,151.75
3/17/2021,9065.5,91.44,70149,3974.12,85.6924,678.19,64.6,1745.33,26.3165,0.011782618,-0.010807022,9070.75,-0.010039662,8980.138352,8979,1.1384,0.000126779,-90.61,-91.75
3/18/2021,9055.5,91.86,70448,3915.46,83.6598,673.38,60,1736.42,26.0718,-0.000358359,-0.031593957,9067.5,-0.003125662,9039.202307,8973.25,65.9523,0.00734988,-28.30,-94.25
3/19/2021,9057,91.92,70949,3913.1,84.5202,671.41,61.42,1745.23,26.2461,0.000551268,-0.011696688,9072.5,-0.026694357,8833.519355,8785.5,48.0194,0.005465751,-238.98,-287.00
3/22/2021,9108.5,91.74,71149,3940.59,84.6687,674.18,61.55,1739.03,25.7505,0.004810675,-0.027834799,9116.25,-0.004784636,9072.736244,8967,105.7362,0.011791708,-43.51,-149.25
3/23/2021,8980,92.34,70837,3910.52,83.1803,668.84,57.76,1727.07,25.0608,-0.015170018,-0.023523205,8979,-0.013500597,8858.592753,8866,7.4072,0.000835467,-120.41,-113.00
3/24/2021,8977.5,92.53,72285,3889.14,84.3452,662.83,61.18,1734.69,25.0948,-0.000640588,-0.020889223,8973.25,-0.021436904,8782.938435,8770.25,12.6884,0.001446759,-190.31,-203.00
3/25/2021,8779.5,92.85,71984,3909.52,82.9932,663.79,58.56,1726.93,25.0615,-0.021145294,0.001023891,8785.5,-0.004009487,8750.345175,8787.75,37.4048,0.004256473,-35.15,2.25
3/26/2021,8962,92.77,71742,3974.54,84.1319,673.35,60.97,1732.52,25.0605,0.020448537,-0.019424646,8967,-0.004177401,8929.619374,8794.5,135.1194,0.015364077,-37.38,-172.50
3/29/2021,8865,92.94,71501,3971.09,83.9328,672.83,61.56,1712.2,24.6556,-0.011327436,-0.00809721,8866,-0.004081733,8829.885115,8794.5,35.3851,0.00402355,-36.11,-71.50
3/30/2021,8773.5,93.3,71435,3958.55,82.7525,672.12,60.55,1685.2,24.0293,-0.010858424,0.031813724,8770.25,0.002199156,8789.558369,8794.5,4.9416,0.0005619,19.31,24.25
3/31/2021,8785.5,93.23,71435,3972.89,83.4445,673.29,59.16,1707.71,24.4172,0.001993394,0.014825126,8787.75,0.03055883,9060.438661,9053.75,6.6887,0.000738772,272.69,266.00
4/1/2021,8790,92.93,72211,4019.87,83.8339,680.47,61.45,1729.31,24.971,0.00076782,0.025123776,8794.5,0.016483257,8940.663318,8919,21.6633,0.002428895,146.16,124.50
4/2/2021,8790,93.02,72211,4019.87,83.8339,681.03,61.45,1728.87,25.0098,0,0.015877602,8794.5,0.0277739,9042.181178,9018.25,23.9312,0.002653639,247.68,223.75
4/5/2021,8790,92.6,71616,4077.91,83.0088,687.54,58.65,1728.27,24.879,0,0.007899807,8794.5,0.008752584,8871.812448,8935.25,63.4376,0.007099695,77.31,140.75
4/6/2021,9047,92.34,70758,4073.94,83.6052,688.76,59.33,1743.27,25.1617,0.02905251,-0.016959235,9053.75,-0.012263862,8943.394137,8864.25,79.1441,0.008928464,-110.36,-189.50
4/7/2021,8915.5,92.46,70473,4079.95,83.7649,689.24,59.77,1737.72,25.1482,-0.014995204,0.017945424,8919,-0.004439774,8879.48943,8901.5,22.0106,0.002472681,-39.51,-17.50
4/8/2021,9008,92.06,70189,4097.17,84.3968,692.56,59.6,1755.84,25.4587,0.011066469,0.030468356,9018.25,0.010044542,9109.290656,9080.5,28.7907,0.003170603,91.04,62.25
4/9/2021,8926.5,92.16,69911,4128.8,84.0279,694.71,59.32,1743.88,25.2655,-0.009246174,0.032129841,8935.25,0.045193847,9348.332406,9297.25,51.0824,0.005494356,413.08,362.00
4/12/2021,8861,92.14,69692,4127.99,83.5819,693.58,59.7,1732.76,24.8165,-0.007977794,0.057006419,8864.25,0.044613354,9268.668071,9227,41.6681,0.004515885,404.42,362.75
4/13/2021,8899.5,91.85,69430,4141.59,84.3167,695.97,60.18,1745.51,25.3475,0.004193468,0.046881228,8901.5,0.044130124,9303.120913,9384.25,81.1291,0.008645239,401.62,482.75
4/14/2021,9074.5,91.69,69671,4124.66,85.8804,695.84,63.15,1736.43,25.4217,0.019909455,0.04089027,9080.5,0.020161469,9265.434228,9328.75,63.3158,0.006787166,184.93,248.25
4/15/2021,9284,91.67,69263,4170.42,86.5611,702.02,63.46,1763.95,25.85,0.0235894,0.013259733,9297.25,0.025309294,9535.55984,9459.5,76.0598,0.008040577,238.31,162.25
4/16/2021,9211,91.56,68877,4185.47,86.5268,704.94,63.13,1776.51,25.967,-0.007584689,0.037700187,9227,0.012315124,9341.334224,9421.35,80.0158,0.008493027,114.33,194.35
4/19/2021,9376,91.07,68430,4163.26,86.7849,702.99,63.38,1771.43,25.8232,0.016898783,0.040386063,9384.25,0.024106598,9613.221111,9581.5,31.7211,0.003310662,228.97,197.25
4/20/2021,9322,91.24,68273,4134.94,86.9782,697.04,62.44,1778.75,25.841,-0.005931723,0.055435848,9328.75,0.043237027,9740.94423,9771,30.0558,0.003076018,412.19,442.25
4/21/2021,9445,91.16,67839,4173.42,87.2667,699.91,61.35,1793.79,26.5538,0.013918498,0.043518288,9459.5,0.049399193,9938.526006,9860.5,78.0260,0.007912987,479.03,401.00
4/22/2021,9401,91.33,67353,4134.98,87.9709,698.32,61.43,1783.94,26.1458,-0.004041137,0.048444638,9421.35,0.04697437,9874.471204,9880.25,5.7788,0.000584884,453.12,458.90
4/23/2021,9551.5,90.86,66992,4180.17,88.4025,703.72,62.14,1777.2,26.0054,0.016855766,0.025503044,9581.5,0.031412844,9887.259409,9889,1.7406,0.000176013,305.76,307.50
4/26/2021,9751,90.81,66877,4187.62,89.5237,706.32,61.91,1781.38,26.225,0.019584659,0.005918385,9771,0.009342856,9862.716827,9829,33.7168,0.003430342,91.72,58.00
4/27/2021,9855.5,90.91,66738,4186.72,90.0768,705.54,62.94,1776.6,26.2682,0.009118062,0.010717676,9860.5,0.007783837,9937.552013,9829,108.5520,0.011044055,77.05,-31.50
4/28/2021,9876,90.61,66668,4183.18,90.1887,705.72,63.86,1781.68,26.2028,0.002000938,0.006934229,9880.25,0.010849287,9988.027264,9966.75,21.2773,0.002134825,107.78,86.50
4/29/2021,9885,90.61,66668,4211.47,90.1666,708.07,65.01,1772.18,26.0974,0.000885213,0.020666752,9889,0.010317823,9991.561146,9949,42.5611,0.004277932,102.56,60.00
4/30/2021,9825,91.28,66536,4181.17,90.361,701.83,63.58,1769.13,25.9169,-0.006085829,0.058389837,9829,0.033832695,10167.23093,10095.5,71.7309,0.007105238,338.23,266.50
5/3/2021,9825,90.95,66405,4192.66,90.9651,703.31,64.49,1792.88,26.905,0,0.054423247,9829,0.053895473,10373.27381,10420,46.7262,0.004484279,544.27,591.00
5/4/2021,9966,91.29,66078,4164.66,91.6533,697.6,65.69,1779.06,26.509,0.013917353,0.047203875,9966.75,0.036859497,10340.97388,10378.75,37.7761,0.003639757,374.22,412.00
5/5/2021,9949.5,91.31,65946,4167.59,92.2249,699.63,65.63,1786.87,26.4895,-0.001782509,0.047525778,9949,0.040178984,10356.87994,10448.5,91.6201,0.008768728,407.88,499.50
5/6/2021,10092,90.95,65505,4201.62,92.8708,704.14,64.71,1815.22,27.3105,0.014617736,0.022696253,10095.5,0.017857548,10277.40019,10433.25,155.8498,0.014937801,181.90,337.75
5/7/2021,10417,90.23,65329,4232.6,93.7349,710.36,64.9,1831.24,27.4495,0.031637256,-0.019918757,10420,-0.001748496,10401.79659,10327.25,74.5466,0.007218436,-18.20,-92.75
5/10/2021,10382,90.21,64980,4188.43,93.1553,706.5,64.92,1836.07,27.3085,-0.00396659,-0.003281302,10378.75,-0.019313792,10180.22033,10214.5,34.2797,0.003355981,-198.53,-164.25
5/11/2021,10460,90.14,64673,4152.1,93.865,698.42,65.28,1837.47,27.624,0.006697981,-0.006938887,10448.5,-0.003980453,10406.9929,10344.75,62.2429,0.006016859,-41.51,-103.75
5/12/2021,10445.5,90.71,64115,4063.04,93.8772,686.77,66.08,1815.69,27.0231,-0.001460606,-0.044414731,10433.25,-0.007617725,10354.07432,10376.25,22.1757,0.002137157,-79.18,-57.00
5/13/2021,10342,90.75,63896,4112.5,91.7009,688.54,63.82,1826.72,27.093,-0.010211789,-0.029055891,10327.25,-0.03238093,9998.20026,9980,18.2003,0.001823673,-329.05,-347.25
5/14/2021,10240.5,90.32,63612,4173.85,91.9824,699.13,65.37,1843.43,27.4228,-0.010977753,-0.034561751,10214.5,-0.020861866,10003.61386,10031.5,27.8861,0.002779858,-210.89,-183.00
5/17/2021,10373,90.16,63285,4163.29,93.2504,698.47,66.27,1866.9,28.1715,0.012670865,-0.04103952,10344.75,-0.0441325,9898.137861,9867.5,30.6379,0.003104926,-446.61,-477.25
5/18/2021,10405,89.75,63109,4127.83,93.1516,698.77,65.49,1869.44,28.185,0.003040396,-0.04693428,10376.25,-0.026068574,10109.25122,9928.8,180.4512,0.018174524,-267.00,-447.45
5/19/2021,10001.5,90.19,62788,4115.68,91.4413,694.7,63.36,1869.62,27.7366,-0.03893645,-0.001880525,9980,-0.016465304,9817.021692,9900.5,83.4783,0.008431726,-162.98,-79.50
5/20/2021,10048,89.81,62785,4159.12,90.8886,701.33,62.05,1877.21,27.7555,0.005147052,0.017162353,10031.5,-0.002490311,10006.54953,9961.25,45.2995,0.004547574,-24.95,-70.25
5/21/2021,9881.5,90.02,62308,4155.86,90.8946,701.57,63.58,1881.25,27.5645,-0.016483614,0.037860431,9867.5,0.031244857,10180.67571,10205.15,24.4743,0.002398229,313.18,337.65
5/24/2021,9947,89.84,62242,4197.05,91.5824,706.2,66.05,1881.02,27.7695,0.006193096,0.031667334,9928.8,0.036169305,10294.49133,10248.25,46.2413,0.00451212,365.69,319.45
5/25/2021,9918,89.64,61982,4188.13,91.3895,707.26,66.07,1899.25,27.9987,-0.002854364,0.033179105,9900.5,0.035026494,10253.42458,10248.25,5.1746,0.000504923,352.92,347.75
5/26/2021,9979,90.04,61730,4195.99,91.6044,708.52,66.21,1896.67,27.6825,0.006117305,0.016862916,9961.25,0.021243745,10175.128,10234.5,59.3720,0.005801163,213.88,273.25
5/27/2021,10221,89.97,61576,4200.88,92.8029,708.92,66.85,1896.54,27.844,0.024189929,-0.043601618,10205.15,0.000418965,10209.4265,10130.65,78.7765,0.007776055,4.28,-74.50
5/28/2021,10258,90.03,60883,4204.11,92.8252,711.15,66.32,1903.77,27.9352,0.004214464,-0.030590242,10248.25,-0.040614262,9840.363951,9769.75,70.6140,0.007227816,-407.89,-478.50
5/31/2021,10258,89.83,60883,4204.11,92.8252,711.45,66.32,1906.87,28.0262,0,-0.036467937,10248.25,-0.023554815,10009.67519,9939.5,70.1752,0.007060233,-238.57,-308.75
6/1/2021,10245,89.83,60708,4202.04,94.139,713.76,67.72,1900.44,27.8927,-0.001342593,-0.029448886,10234.5,-0.030594172,9926.125235,9881.25,44.8752,0.004541453,-308.37,-353.25
6/2/2021,10147.5,89.91,60203,4208.12,94.4461,714.42,68.83,1908.38,28.1719,-0.010198884,-0.017716587,10130.65,-0.007182827,10058.144,9937.5,120.6440,0.012140277,-72.51,-193.15
6/3/2021,9788.5,90.51,59765,4192.85,93.2629,711.36,68.81,1870.76,27.4316,-0.036274605,0.009499505,9769.75,0.011964474,9887.34198,9952.75,65.4080,0.006571854,117.59,183.00
6/4/2021,9955,90.14,59490,4229.89,94.6845,716.31,69.62,1891.59,27.7933,0.01722584,0.00357527,9939.5,0.003616436,9975.510641,9863,112.5106,0.011407345,36.01,-76.50
6/7/2021,9900.5,89.95,59203,4226.52,94.1594,717,69.23,1899.21,27.8897,-0.005877696,0.005751927,9881.25,0.008126872,9961.880848,9975.1,13.2192,0.001325215,80.63,93.85
6/8/2021,9964,90.08,58475,4227.26,94.7736,716.96,70.05,1892.89,27.618,0.005676458,-0.041084083,9937.5,-0.000382848,9933.696177,9938.25,4.5538,0.000458212,-3.80,0.75
6/9/2021,9978.5,90.12,57777,4219.55,94.8034,715.57,69.96,1888.57,27.7725,0.001533415,-0.032109338,9952.75,-0.03656917,9595.360735,9537.5,57.8607,0.006066656,-357.39,-415.25
6/10/2021,9890,90.08,57157,4239.18,95.0283,718.23,70.29,1898.51,27.99,-0.009058513,-0.059959478,9863,-0.027291287,9597.465901,9638.25,40.7841,0.004231484,-265.53,-224.75
6/11/2021,10003.5,90.56,56433,4247.44,94.9903,719.52,70.91,1877.53,27.9175,0.011301606,-0.089649596,9975.1,-0.065599054,9341.743768,9289,52.7438,0.005678089,-633.36,-686.10
6/14/2021,9971.5,90.52,55414,4255.15,94.314,721.1,70.88,1866.18,27.856,-0.003701039,-0.082200007,9938.25,-0.06381117,9323.88865,9119.75,204.1387,0.022384238,-614.36,-818.50
6/15/2021,9569.5,90.54,55326,4246.59,93.5422,720.23,72.12,1859.02,27.6643,-0.041159552,-0.027951916,9537.5,-0.037779808,9183.896672,9154,29.8967,0.003265968,-353.60,-383.50
6/16/2021,9667,91.13,54514,4223.7,93.4144,717.84,72.15,1811.47,26.9831,0.01050816,-0.0194603,9638.25,-0.024986887,9400.404026,9274.6,125.8040,0.013564361,-237.85,-363.65
6/17/2021,9315.5,91.89,54038,4221.86,90.1018,714.87,71.04,1773.5,25.9047,-0.036908652,0.01100074,9289,0.015756302,9436.519418,9452.5,15.9806,0.00169062,147.52,163.50
6/18/2021,9145.5,92.23,53317,4166.45,90.933,705.97,71.64,1764.16,25.7868,-0.018388513,0.029032493,9119.75,0.026399074,9363.708932,9391.75,28.0411,0.002985713,243.96,272.00
6/21/2021,9180,91.9,52355,4224.79,91.5595,711.04,73.66,1783.27,25.9516,0.003748551,0.022387886,9154,0.022168668,9359.198067,9388.4,29.2019,0.003110427,205.20,234.40
6/22/2021,9301,91.76,51805,4246.44,91.5248,714.74,73.06,1778.74,25.7773,0.013088539,0.004051257,9274.6,0.00654075,9335.461661,9361.25,25.7883,0.002754797,60.86,86.65
6/23/2021,9482.5,91.8,51355,4241.84,92.2513,715.02,73.08,1778.68,25.8914,0.018999776,-0.010742499,9452.5,-0.011423525,9345.133549,9312.25,32.8835,0.003531214,-107.37,-140.25
6/24/2021,9419,91.81,51209,4266.49,92.3561,718.68,73.3,1775.17,25.947,-0.006447612,-0.010220551,9391.75,-0.002275219,9370.406005,9351.5,18.9060,0.002021708,-21.34,-40.25
6/25/2021,9413.5,91.85,50604,4280.7,92.437,721.91,74.05,1781.44,26.102,-0.00035676,-0.004042928,9388.4,-0.003807987,9352.717078,9296.25,56.4671,0.006074178,-35.68,-92.15
6/28/2021,9388,91.89,50079,4290.61,93.0665,722.05,72.91,1778.48,26.1119,-0.002896056,0.01277425,9361.25,0.009178213,9447.565049,9350.52,97.0450,0.010378572,86.32,-10.73
6/29/2021,9334.5,92.05,50036,4291.8,93.1987,721.64,72.98,1761.24,25.7732,-0.005248091,-0.003357128,9312.25,0.016689943,9468.975151,9481.6,12.6248,0.00133151,156.73,169.35
6/30/2021,9374.5,92.44,49713,4297.5,94.5412,719.97,73.47,1770.11,26.1263,0.004206021,0.007543523,9351.5,-0.008197244,9275.156802,9281.04,5.8832,0.000633894,-76.34,-70.46
7/1/2021,9322,92.6,49649,4319.94,94.6891,721.82,75.23,1776.84,26.034,-0.005925665,-0.000941683,9296.25,0.007881941,9369.812019,9422.31,52.4980,0.005571668,73.56,126.06
7/2/2021,9376.5,92.23,49345,4352.34,94.9753,724.66,75.16,1787.3,26.4715,0.005820864,0.013989673,9350.52,-0.010597582,9251.95032,9287.5,35.5497,0.003827691,-98.57,-63.02
7/5/2021,9511,92.21,49345,4352.34,94.9753,725.38,75.16,1791.77,26.479,0.013921122,-0.011333174,9481.6,0.010967756,9586.164245,9482.25,103.9142,0.010958817,104.56,0.65
7/6/2021,9312,92.55,48878,4343.54,92.7971,723.35,73.37,1797.08,26.159,-0.021379469,0.010099629,9281.04,0.005325678,9330.599686,9374.75,44.1503,0.004709492,49.56,93.71
7/7/2021,9455,92.64,47683,4358.13,92.4746,724.41,72.2,1803.63,26.1404,0.015106672,-0.012791725,9422.31,0.003048308,9451.075926,9375.25,75.8259,0.008087883,28.77,-47.06
7/8/2021,9323,92.42,47287,4320.82,92.5763,717.06,72.94,1802.83,25.935,-0.014410871,0.017556949,9287.5,0.000496465,9292.112064,9302.55,10.4379,0.001122051,4.61,15.05
7/9/2021,9519.5,92.13,47143,4369.55,93.4966,723.6,74.56,1808.32,26.1042,0.02075222,-0.009643225,9482.25,0.005224525,9531.91989,9452,79.9199,0.008455342,49.67,-30.25
7/12/2021,9409,92.26,46970,4384.63,93.9659,727.33,74.1,1806.28,26.202,-0.011401725,-0.020067203,9374.75,-0.002257235,9353.612848,9391.25,37.6372,0.004007683,-21.14,16.50
7/13/2021,9412.5,92.75,46400,4369.21,94.4802,726.33,75.25,1807.76,25.9876,5.33333E-05,-0.007655693,9375.25,-0.024382388,9149.423302,9188.5,39.0767,0.004252783,-225.83,-186.75
7/14/2021,9342.5,92.41,45963,4374.3,94.4088,726.09,73.13,1827.53,26.25,-0.007784682,0.001659457,9302.55,-0.006876558,9238.799917,9303.75,64.9501,0.006981065,-63.75,1.20
7/15/2021,9486.5,92.62,45687,4360.03,94.1287,723.66,71.65,1829.47,26.343,0.015937803,-0.003626967,9452,-0.005061277,9404.28167,9318,86.2817,0.009259677,-47.72,-134.00
7/16/2021,9427,92.69,45355,4327.16,94.4305,719.17,71.81,1812.05,25.6641,-0.006447955,0.01098694,9391.25,0.012876804,9512.96123,9417.78,95.1812,0.010106546,121.71,26.53
7/19/2021,9222,92.89,45355,4258.49,92.0902,707.42,66.42,1812.64,25.1761,-0.021825703,0.063740671,9188.5,0.030333402,9471.488772,9495,23.5112,0.002476169,282.99,306.50
7/20/2021,9336,92.97,45204,4323.06,93.3119,713.3,67.42,1810.36,24.934,0.012464843,0.045823573,9303.75,0.054099277,9820.939812,9793.25,27.6898,0.002827439,517.19,489.50
7/21/2021,9347,92.75,44905,4358.69,94.7001,719.78,70.3,1803.66,25.2612,0.001530469,0.036459628,9318,0.040165167,9699.876761,9740,40.1232,0.004119429,381.88,422.00
7/22/2021,9441.5,92.82,44905,4367.48,95.5058,722.8,71.91,1806.92,25.4315,0.010651379,0.039731972,9417.78,0.024060735,9647.12677,9664,16.8732,0.001745988,229.35,246.22
7/23/2021,9516,92.91,44806,4411.79,95.6888,727.13,72.07,1802.15,25.1775,0.008165952,0.021463629,9495,0.02390371,9724.700132,9799.5,74.7999,0.007633029,229.70,304.50
7/26/2021,9809.5,92.65,44729,4422.3,96.6417,726.67,71.91,1797.63,25.1935,0.030928029,-0.012179142,9793.25,-0.000807021,9785.34983,9701,84.3498,0.008694962,-7.90,-92.25
7/27/2021,9758.5,92.43,44729,4401.46,95.8341,722.41,71.65,1799.09,24.6916,-0.005452255,-0.022688718,9740,-0.009225743,9650.554498,9674.7,24.1455,0.002495736,-89.45,-65.30
7/28/2021,9686,92.32,45438,4400.64,96.1806,723.61,72.39,1807.11,24.9635,-0.007833476,-0.023054494,9664,-0.018235473,9489.369463,9521.5,32.1305,0.003374525,-174.63,-142.50
7/29/2021,9823.5,91.86,45438,4419.15,97.5057,729.68,73.62,1828.17,25.5144,0.013923723,-0.034043019,9799.5,-0.029513303,9514.510563,9443.75,70.7606,0.007492846,-284.99,-355.75
7/30/2021,9728,92.17,45885,4395.26,96.2754,724.21,73.95,1814.19,25.4912,-0.010102391,-0.026637602,9701,-0.020350365,9505.576325,9471.51,34.0663,0.003596715,-195.42,-229.49
8/2/2021,9700.5,92.05,45885,4387.16,95.7473,726.88,71.26,1813.47,25.4097,-0.002714742,-0.034913589,9674.7,-0.017973557,9502.364607,9446,56.3646,0.005967034,-172.34,-228.70
8/3/2021,9541.5,92.08,45753,4423.15,95.3477,730.15,70.56,1810.44,25.5233,-0.015961831,-0.002866047,9521.5,-0.021929635,9314.969823,9342.75,27.7802,0.002973448,-206.53,-178.75
8/4/2021,9466,92.27,45687,4402.66,94.8532,729.43,68.15,1811.74,25.3812,-0.008199252,0.004094848,9443.75,0.007576273,9515.570149,9494.25,21.3201,0.002245585,71.82,50.50
8/5/2021,9491.5,92.24,45687,4429.1,95.3019,732.57,69.09,1804.41,25.1581,0.002935198,-0.003782678,9471.51,0.012670439,9592.281689,9482.5,109.7817,0.011577294,120.77,10.99
8/6/2021,9468,92.8,45811,4436.52,94.6853,731.19,68.28,1763.03,24.3305,-0.002696974,0.010164134,9446,0.008153912,9523.336723,9435.75,87.5867,0.009282434,77.34,-10.25
8/9/2021,9369.5,92.95,45986,4432.35,93.1239,731.1,66.48,1729.94,23.449,-0.01099073,0.008181367,9342.75,0.020884285,9539.918347,9542.5,2.5817,0.000270543,197.17,199.75
8/10/2021,9520.5,93.06,46112,4436.75,94.3816,732.02,68.29,1728.93,23.3416,0.016085711,-0.028579478,9494.25,-0.003644955,9459.706875,9419.5,40.2069,0.004268472,-34.54,-74.75
8/11/2021,9512,92.92,46287,4447.7,94.9615,734.01,69.25,1751.7,23.5465,-0.001238358,-0.0495603,9482.5,-0.031429075,9189.108459,9226.75,37.6415,0.00407961,-293.39,-255.75
8/12/2021,9467.5,93.04,46287,4460.83,94.9793,734.75,69.09,1752.9,23.1805,-0.004942328,-0.059128775,9435.75,-0.057552285,8908.032359,9024,115.9676,0.012851024,-527.72,-411.75
